Date,BAC,F,GM,GS,IBM,JPM,T,XOM
2019-02-28,25.07861328125,6.4928879737854,36.395015716552734,170.37083435058594,100.35631561279297,87.30242919921875,14.799861907958984,59.302635192871094
2019-03-01,25.276968002319336,6.507695198059082,36.441104888916016,171.67005920410156,101.13369750976562,87.36100769042969,14.657191276550293,60.03050994873047
2019-03-04,25.03549575805664,6.522502422332764,36.182987213134766,169.7472381591797,100.57425689697266,87.16024017333984,14.257707595825195,60.26311492919922
2019-03-05,25.07861328125,6.4928879737854,36.21063995361328,169.76455688476562,100.17467498779297,87.09329986572266,14.243439674377441,60.17306137084961
2019-03-06,24.87163543701172,6.352220058441162,35.6483039855957,168.67320251464844,99.52078247070312,86.76705169677734,14.176860809326172,59.49022674560547
2019-03-07,24.62154197692871,6.278185844421387,35.415565490722656,166.96694946289062,98.34380340576172,86.13963317871094,14.229169845581055,60.15055465698242
2019-03-08,24.707778930664062,6.233764171600342,35.36901092529297,169.10626220703125,98.14766693115234,86.17311096191406,14.248197555541992,59.287635803222656
2019-03-11,24.95787811279297,6.374431610107422,35.955543518066406,169.7385711669922,100.05116271972656,87.29408264160156,14.371846199035645,59.865421295166016
2019-03-12,24.95787811279297,6.3448166847229,35.955543518066406,170.31024169921875,100.46528625488281,87.03475952148438,14.566831588745117,60.03050994873047
2019-03-13,25.259719848632812,6.315202713012695,36.12312316894531,170.84722900390625,100.66871643066406,87.32752990722656,14.400381088256836,60.563262939453125
2019-03-14,25.406328201293945,6.2263617515563965,35.40624237060547,171.03778076171875,100.83582305908203,88.12226104736328,14.400381088256836,60.36065673828125
2019-03-15,25.268341064453125,6.241168022155762,35.4434700012207,171.72203063964844,101.30081939697266,89.13449096679688,14.58585262298584,60.14306640625
2019-03-18,25.716793060302734,6.3448166847229,35.35969161987305,175.36849975585938,101.86748504638672,89.66987609863281,14.647677421569824,60.840911865234375
2019-03-19,25.5701847076416,6.441064357757568,35.62968063354492,174.19920349121094,102.07095336914062,89.3436050415039,14.590609550476074,60.68333435058594
2019-03-20,24.69915771484375,6.3003973960876465,34.44731140136719,168.30947875976562,101.42430877685547,87.43628692626953,14.509761810302734,61.02099609375
